id,name,position,team,now_cost,expected_points,total_points,minutes
340,Alex Cairns,GK,Leeds,40,0.0,0,0
341,Karl Darlow,GK,Leeds,40,0.38,0,0
342,Jayden Bogle,DEF,Leeds,45,4.1,2,90
343,Pascal Struijk,DEF,Leeds,45,4.01,0,0
344,Jaka Bijol,DEF,Leeds,39,0.36,4,90
345,Sebastiaan Bornauw,DEF,Leeds,39,0.22,0,0
346,Sam Byram,DEF,Leeds,39,0.13,0,0
347,Gabriel Gudmundsson,DEF,Leeds,40,4.21,1,43
348,Joe Rodon,DEF,Leeds,41,3.91,13,90
350,Brenden Aaronson,MID,Leeds,54,3.1,11,86
351,Wilfried Gnonto,MID,Leeds,52,1.6,0,0
352,Jack Harrison,MID,Leeds,52,0.92,1,45
353,Daniel James,MID,Leeds,53,0.99,1,3
354,Ethan Ampadu,MID,Leeds,49,3.28,4,90
356,Ilia Gruev,MID,Leeds,48,0.74,0,18
358,Tanaka Ao,MID,Leeds,48,1.48,3,71
362,Joël Piroe,FWD,Leeds,51,0.5,0,0
365,Lukas Nmecha,FWD,Leeds,50,1.15,1,3
366,Alisson Becker,GK,Liverpool,54,0.0,0,0
367,Giorgi Mamardashvili,GK,Liverpool,43,3.31,2,90
368,Ármin Pécsi,GK,Liverpool,39,0.0,0,0
369,Freddie Woodman,GK,Liverpool,39,0.0,0,0
370,Jeremie Frimpong,DEF,Liverpool,58,0.0,0,0
371,Milos Kerkez,DEF,Liverpool,58,3.08,6,60
372,Andrew Robertson,DEF,Liverpool,58,1.18,1,29
373,Virgil van Dijk,DEF,Liverpool,60,4.08,3,90
374,Ibrahima Konaté,DEF,Liverpool,54,3.56,3,90
375,Conor Bradley,DEF,Liverpool,50,3.14,4,61
376,Joe Gomez,DEF,Liverpool,49,0.44,1,7
378,Amara Nallo,DEF,Liverpool,39,0.01,0,0
379,Rhys Williams,DEF,Liverpool,39,0.05,0,0
380,Calvin Ramsay,DEF,Liverpool,39,0.01,0,0
